ID;D1;D2;panelistSex;D3;D3R;D4;D4_2_value;D5_1;D5_2;D6;D7_CCAA;D7_HABITAT;D7_POBLACION;D7_CP;D8;D8_EDUCACION;SPLIT;SPLIT_DECISION_1;SPLIT_DECISION_2;SPLIT_DECISION_3;SPLIT_DECISION_4;SPLIT_DECISION_5;P1_1_1;P1_1_2;P1_1_3;P1_1_4;P1_1_5;P1_1_6;P1_1_7;P1_1_8;P1_1_9;P1_1_10;P1_1_11;P1_1_12;P1_1_13;P1_1_14;P1_1_98;P1_2_1;P1_2_2;P1_2_3;P1_2_4;P1_2_5;P1_2_6;P1_2_7;P1_2_8;P1_2_9;P1_2_10;P1_2_11;P1_2_12;P1_2_13;P1_2_14;P1_2_15;P1_2_98;P1_3_1;P1_3_2;P1_3_3;P1_3_4;P1_3_5;P1_3_6;P1_3_7;P1_3_8;P1_3_9;P1_3_10;P1_3_11;P1_3_12;P1_3_13;P1_3_98;P1_4;P1_5;P1_6_1;P1_6_2;P1_6_3;P1_6_4;P1_6_5;P1_6_6;P1_6_7;P1_6_8;P1_6_9;P1_6_10;P1_6_11;P1_7_1;P1_7_2;P1_7_3;P1_7_4;P1_7_5;P1_7_6;P1_7_7;P1_7_8;P1_7_9;P1_7_10;P1_7_98;P1_8_1;P1_8_2;P1_8_3;P1_8_4;P1_8_5;P1_9_1;P1_9_2;P1_9_3;P1_9_4;P1_9_5;P2_1_1;P2_1_2;P2_1_3;P2_1_4;P2_1_5;P2_1_6;P2_1_7;P2_1_98;P2_1_98_value;P2_1_97;P2_2_1;P2_2_2;P2_2_3;P2_2_4;P2_2_98;P2_2_98_value;P2_2_97;P2_3_1;P2_3_2;P2_3_3;P2_3_4;P2_3_5;P2_3_6;P2_3_98;P2_3_98_value;P3_1_1;P3_1_2;P3_1_3;P3_1_4;P3_2;P3_2_1_value;P3_2_2_value;P3_2_3_value;P3_3;P4_1_1;P4_1_2;P4_1_3;P4_1_4;P4_1_5;P4_1_6;P4_1_7;P4_1_8;P4_1_9;P4_1_10;P4_1_11;P4_1_12;P4_2;P4_3;P4_4_1;P4_4_2;P4_4_3;P4_4_4;P4_4_5;P4_4_6;P4_4_7;P4_4_8;P4_4_9;P4_4_10;P5_1;P5_2;P5_3;P5_4;P5_5;P5_5_98;P5_6;P5_6_98;P5_7_1;P5_7_2;P5_7_3;P5_7_4;P5_7_5;P5_7_6;P5_7_7;P5_7_8;P5_7_9;P5_7_10;P5_7_11;P5_7_12;P5_7_13;P5_7_14;P5_7_15;P5_7_16;P5_7_17;P5_7_18;P5_7_19;P5_7_20;P5_7_21;P5_7_22;P5_7_23;P5_7_24;P5_7_25;P5_7_26;P5_8_1;P5_8_2;P5_8_3;P5_8_4;P5_8_5;P5_8_6;P5_8_7;P6_1_1;P6_1_2;P6_2;P6_2_98;P6_3;P6_4;P6_5;P6_6;P6_7;P6_8;P6_9;P6_10;P6_10_98;P6_11;P6_11_1_value;Ponderación;Ponderacion_ajustada
1;1;1;1;68;6;1;NA;NA;NA;2;10;6;462508;46006;6;2;4;2;3;3;3;3;0;0;0;1;0;0;0;1;0;1;1;0;1;0;NA;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;4;5;4;3;2;1;4;4;1;3;3;4;1;1;1;1;0;1;1;0;1;0;1;NA;NCIS;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;1;0;0;0;0;NA;3;3;3;3;0;NA;NA;NA;5;4;4;1;3;4;4;4;4;4;4;1;1;5;5;4;3;4;3;3;4;3;4;4;3;5;4;3;6;2;NA;NA;NA;63;62;41;60;43;80;67;62;63;64;61;43;64;9;23;68;21;62;46;73;58;46;67;85;65;86;3;3;2;3;2;3;3;5;4;9;NA;NA;NA;NA;NA;4;2;2;2;NA;1;1;6.86E+15;6.86E+15
2;1;1;1;55;4;1;NA;NA;NA;1;1;2;40524;4230;5;1;3;1;2;3;2;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0;NA;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;NA;1;1;0;0;0;1;0;1;1;1;1;0;0;NA;2;7;2;3;2;1;3;3;2;2;1;4;1;1;1;0;0;1;0;0;1;1;1;NA;Grimm;Hermanos;09/01/2001;Chicago;Ley y Orden;God of War;Gran Turismo;NA;NA;NA;1;1;1;0;0;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;0;1;0;0;0;NA;3;4;3;4;0;NA;NA;NA;5;4;5;3;3;4;5;3;4;5;5;1;1;5;7;4;1;3;1;5;4;2;2;3;3;3;8;3;9;3;NA;NA;NA;62;81;80;84;16;100;92;51;100;79;0;50;0;89;97;40;33;80;56;52;54;10;100;100;92;79;5;5;5;5;2;4;3;5;2;8;NA;NA;NA;NA;NA;2;2;2;4;NA;1;2;1.17E+16;1.17E+16
3;1;2;2;26;2;2;Venezuela;6;8;NA;8;4;451685;45004;11;3;1;1;1;4;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;NA;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;NA;0;0;0;0;0;1;0;0;0;0;0;0;0;NA;2;1;5;1;1;5;5;5;2;5;1;3;1;1;1;0;0;0;1;0;0;0;0;NA;Juego de Tronos;Gossip Girl;Fleabag;Breaking Bad;NA;Candy Crush;Aventureros al Tren;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;0;0;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;3;5;4;5;0;NA;NA;NA;1;5;5;3;3;4;3;4;3;5;5;1;2;7;3;2;1;5;5;1;5;3;99;5;5;2;7;5;3;95;NA;98;C's (Ciudadanos);100;100;100;100;95;100;100;100;100;100;100;82;39;0;19;49;2;100;100;100;100;8;100;100;100;100;2;2;5;4;5;3;5;11;11;3;NA;5;4;30;0;1;5;NA;1;NA;0;NA;8.31E+15;8.31E+15
4;1;2;2;30;2;1;NA;NA;NA;1;1;3;290385;29580;4;1;3;2;4;1;4;4;1;0;1;1;0;0;0;0;0;1;1;1;0;99;NA;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;NA;0;0;1;1;0;0;1;1;1;0;0;0;0;NA;1;10;5;99;99;4;5;4;99;1;3;99;2;1;1;0;0;0;1;0;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;0;0;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;99;99;99;5;99;NA;NA;NA;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;97;NA;99;NA;999;100;999;999;999;999;999;999;999;999;999;999;999;999;999;999;100;999;999;999;999;999;999;999;999;999;99;99;99;99;99;99;99;99;99;1;NA;9;0;NA;NA;99;99;NA;99;NA;999;NA;12159693;12159693
5;1;1;1;44;3;1;NA;NA;NA;10;10;5;30149;3006;4;1;11;3;4;1;2;2;0;1;1;1;1;1;1;1;0;1;1;1;1;0;NA;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;NA;0;0;0;0;0;1;0;0;0;0;0;0;0;NA;7;10;2;1;99;3;3;1;1;2;1;99;99;0;0;99;0;0;0;0;0;0;99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;3;3;3;0;NA;NA;NA;5;3;2;3;1;4;1;2;3;3;5;5;3;6;7;99;2;1;1;1;2;99;99;4;2;1;1;99;1;2;NA;NA;NA;69;68;73;67;68;86;87;69;74;100;67;25;74;73;31;68;65;74;27;78;78;85;28;75;77;75;1;1;3;1;3;4;1;5;4;3;NA;9;3;8;83;2;1;6;2;NA;1;1;1.17E+16;1.17E+16
6;1;2;2;32;2;1;NA;NA;NA;12;12;1;150933;15850;11;3;10;4;4;3;3;2;0;0;1;1;1;0;1;1;1;0;1;1;0;1;NA;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;1;7;2;5;4;1;4;3;1;2;3;4;1;1;1;0;0;0;0;0;0;0;0;NA;Diarios de Vampiro;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;1;0;0;0;0;NA;3;4;3;3;1;Tinder;NA;NA;1;4;3;4;4;4;4;2;2;4;4;1;4;4;5;3;3;4;2;1;5;4;2;4;3;2;3;4;2;9;NA;NA;NA;23;0;8;0;0;0;91;43;79;0;51;0;0;0;1;0;0;72;0;0;88;0;70;100;91;24;4;1;2;4;5;5;5;7;5;1;NA;4;5;34;0;4;6;NA;1;NA;0;NA;7.47E+15;7.47E+15
7;1;1;1;50;4;1;NA;NA;NA;1;1;4;299018;29620;9;3;2;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;5;5;3;3;3;3;3;5;3;2;3;4;3;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1;0;0;0;0;0;0;NA;0;0;0;0;1;0;NA;0;0;0;0;0;1;0;0;NA;3;3;3;1;0;NA;NA;NA;5;3;5;3;3;3;3;3;3;3;3;3;3;5;5;3;3;3;3;3;3;3;3;3;3;5;5;3;5;97;NA;99;NA;999;68;999;999;59;999;999;999;999;63;999;68;62;64;60;999;62;63;999;98;999;63;100;60;999;64;3;3;5;3;3;3;3;5;3;1;NA;4;5;35;999;99;2;2;2;NA;1;1;9.39E+15;9.39E+15
8;1;2;2;49;4;1;NA;NA;NA;1;1;5;290691;29670;11;3;4;1;1;4;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;NA;0;1;1;1;1;0;1;0;0;0;0;0;0;0;1;NA;0;0;0;0;0;1;0;0;0;0;0;0;0;NA;1;1;3;1;1;2;4;4;2;2;4;3;3;0;0;0;0;1;1;0;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;0;0;NA;0;0;1;0;0;0;NA;0;0;0;1;1;0;0;0;NA;2;4;2;4;0;NA;NA;NA;1;5;4;1;1;4;4;4;4;3;4;1;1;7;8;5;1;3;1;1;3;4;3;4;5;1;5;4;8;97;NA;2;NA;22;0;69;53;1;76;53;53;51;70;72;2;38;0;0;92;100;72;21;1;100;0;100;100;76;71;1;2;3;3;3;4;4;3;3;1;NA;2;5;35;0;6;4;NA;2;NA;0;NA;8.60E+15;8.60E+15
9;1;2;2;63;5;1;NA;NA;NA;16;16;5;480209;48011;8;2;3;2;3;4;2;2;1;1;1;1;0;0;1;1;1;1;0;0;1;1;NA;0;1;1;99;1;1;1;0;1;0;0;0;0;0;0;NA;0;0;0;0;0;1;0;0;0;0;1;0;0;NA;5;1;4;1;2;1;3;2;5;1;2;4;1;1;1;0;0;0;1;99;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;1;5;4;1;0;NA;NA;NA;1;4;2;2;1;1;1;4;99;5;4;1;1;1;1;5;5;3;2;4;4;2;4;5;1;3;5;3;10;1;NA;NA;NA;999;28;999;999;999;5;999;999;999;999;999;999;999;95;999;999;999;999;60;999;999;999;999;999;999;999;3;5;5;5;5;5;5;4;4;8;NA;NA;NA;NA;NA;8;1;3;1;NA;0;NA;81081;81081
10;1;2;2;84;7;1;NA;NA;NA;17;16;5;480139;48902;4;1;10;2;2;3;2;2;0;0;0;0;0;0;0;1;0;1;1;1;1;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;NA;1;99;3;3;2;1;4;2;5;1;1;5;2;0;1;0;0;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;0;1;0;0;0;NA;0;0;0;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;4;0;NA;NA;NA;1;4;3;1;1;5;5;2;4;5;5;2;4;3;1;3;1;5;5;2;5;5;3;4;5;5;4;3;10;2;NA;NA;NA;72;82;70;58;29;2;100;90;87;21;100;9;30;0;0;20;0;89;23;6;89;32;100;90;83;73;1;3;5;3;1;4;3;4;3;9;NA;NA;NA;NA;NA;2;2;2;3;NA;1;2;118053936;1.54E+16
